id,tanggal,report_no,forklift_id,pekerjaan,teknisi,description,recommendation,items_used,location,deleted_at,created_at,updated_at
56,2025-10-31,28284,338,Lapangan,"Afrizal, Mesman",<ul><li>Universal Joint Rusak</li><li>Ganti Filter Udara</li></ul><br>,<ul><li>Switch Engine Oil</li></ul>,Universal Join 2 pcsFilter Udara 1 pc,PT ALCOTRAINDO KABIL,,2025-10-31 14:40:00,2025-10-31 14:40:00
59,2025-10-31,28410,530,Lapangan,"Toyib, Liping",<ul><li>Cek dan ganti plug auto filling battery</li></ul>,<ul><li>Plug battery Assy</li></ul>,<ul><li>Plug Battery (auto filling) 1 pc</li></ul>,ALCON LOT 210,,2025-10-31 16:21:24,2025-10-31 16:21:24
60,2025-11-03,28471,510,Lapangan,"Toyib, Liping",<ul><li>Repair sensor rak dan ganti relay 24V DC</li></ul>,<ul><li>Relay 24V DC 3 Kotak</li></ul>,<ul><li>Relay 24V DC 1 pc</li></ul>,EPSON LOT 530,,2025-11-03 15:01:47,2025-11-03 15:01:47
61,2025-10-27,28454,343,Lapangan,"Irfan, Mesman",<ul><li>Pasang Baut load guard</li><li>Rapikan Lampu</li></ul>,,<ul><li>Baut load guard 2 pcs</li><li>Rapikan Garpu 2 job</li></ul>,WORKSHOP,,2025-11-03 16:21:12,2025-11-03 16:21:12
62,2025-11-03,28453,344,Lapangan,"Irfan, Mesman",<ul><li>Check Forklift</li><li>Ganti Aki</li></ul>,,<ul><li>Aki Amaron 90 A 1 pc</li></ul>,Giken Horizon Tj Uncang,,2025-11-03 16:22:15,2025-11-03 16:22:15
63,2025-11-04,28285,335,Lapangan,"Afrizal, Rahul",<ul><li>Ganti sealkit cylinder steering</li><li>Ganti sealkit transmisi</li><li>Ganti tali gas</li></ul>,<ul><li>Teflon side shift 2 pcs</li></ul>,<ul><li>Sealkit cylinder steering 1 set</li><li>Seal transmisi 1 pc</li><li>Seal gardan 1 pc</li><li>O-ring selenoid transmisi 1 pc</li><li>parking transmisi 1 pc</li><li>Oli transmisi 8 liter</li><li>tali gas 1 pc</li><li>seal grandshaft 1 pc depan</li><li>Belting Kipas 1 pc</li></ul>,PT INTI DUTA SURYA,,2025-11-04 11:22:15,2025-11-04 11:22:15
64,2025-11-05,28438,352,Lapangan,"Riki, Mesman",<ul><li>Repair Panel Meter</li><li>Replace Oil Switch</li></ul>,,<ul><li>Panel Meter Repair 1 Job</li><li>Oil Switch 1 pc</li></ul>,PT EPSON TRAINING,,2025-11-05 16:29:46,2025-11-06 10:27:55
65,2025-11-04,28437,448,Lapangan,Riki,<ul><li>Check Forklift</li></ul>,,<ul><li>Battery (R)</li></ul>,PT WARLBOR,,2025-11-05 16:32:44,2025-11-05 16:32:44
66,2025-11-04,28436,466,PM,"Riki, Mesman",Preventative Maintenance,,,PT WARLBOR,,2025-11-05 16:34:56,2025-11-05 16:35:13
67,2025-10-28,28435,367,Lapangan,Riki,<ul><li>Ganti seal steering</li><li>Ganti seal hydraulic pump</li></ul>,,<ul><li>Seal kit steering cylinder 1 set</li><li>Seal kit steering hydraulic pump 1 set</li></ul>,PT NIGI UNCANG,,2025-11-05 16:39:39,2025-11-05 16:39:39
68,2025-10-30,28434,366,Lapangan,Riki,<ul><li>Repair Meter Rusak&nbsp;</li><li>Back Buzzer Mati</li><li>Brake Master Bocor&nbsp;</li></ul>,<ul><li>Kuras Tank Solar 1 pc</li><li>Fuel Filter 1 pc</li></ul>,<ul><li>Panel Meter Repair 1 job</li><li>Repair Wiring Back BV22 1 job</li><li>Brake Master 1 pc</li></ul>,PT NIGI UNCANG,,2025-11-05 16:45:11,2025-11-05 16:45:11
69,2025-11-07,awdad,640,Lapangan,Asep,awdwa,awdwad,wadawd,VOLEX,2025-11-06 16:54:50,2025-11-06 16:54:39,2025-11-06 16:54:39
70,2025-11-06,28459,408,PM,"Irfan, Rahul",<ul><li>Ganti Hose Hydraulic</li><li>PM</li></ul>,,<ul><li>Hose hydraulic 1 pc</li><li>Oli Mesin 8 Liter</li><li>Filter Oli 1 pc</li><li>Filter Solar 1 pc</li><li>Saringan Udara 1 pc</li></ul>,PT MULIA ACETECH,,2025-11-07 08:37:46,2025-11-07 13:28:20
71,2025-11-05,28458,328,PM,"Irfan, Rahul",Preventative Maintenance,<ul><li>Oli Mesin 8 liter</li><li>Oli Transmisi 1 liter</li><li>Filter Oli 1 pc</li><li>Filter solar 1 pc</li></ul>,<ul><li>Seal transmisi belakang bocor</li><li>Cylinder steering bocor</li></ul>,PT ALCOTRAINDO BATAM,,2025-11-07 08:56:05,2025-11-07 08:56:05
72,2025-11-05,28455,340,PM,"Irfan, Rahul",Preventative Maintenance,<ul><li>Oli Mesin 8 Liter</li><li>Filter Oli 1 pc</li><li>Filter Solar 1 pc</li><li>Teflon Side Shift 2 pcs</li><li>O-ring connector transmisi 1 pc</li><li>Keratin belting 1 job</li></ul>,<ul><li>Lampu rotary mati</li></ul>,SUPERPAKINDO,,2025-11-07 08:58:28,2025-11-07 08:58:28
73,2025-11-07,28472,419,Lapangan,"Epan, Liping",<ul><li>Repair Keranjang</li></ul>,,"<ul><li>Roda Keranjang 4 pcs</li><li>Plat 16m (tebal 6mm,lebar 26 cm,panjang 115 cm) 2 pcs</li></ul>",EPSON LOT 530,,2025-11-07 14:54:10,2025-11-07 14:54:10
